epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,1364.95,0.86678,0.50144,1.03747,0.81162,0.80317,0.87926,0.59824,1.16871,0.80241,1.14849,5.92001e-05,5.92001e-05,5.92001e-05
161,1373.66,0.86339,0.49998,1.03791,0.80858,0.82215,0.883,0.59131,1.196,0.7851,1.15172,5.7824e-05,5.7824e-05,5.7824e-05
162,1382.32,0.8276,0.48651,1.01949,0.82826,0.84815,0.90636,0.62759,1.11797,0.71145,1.13146,5.64479e-05,5.64479e-05,5.64479e-05
163,1390.34,0.833,0.47754,1.01962,0.82248,0.82102,0.89236,0.61645,1.11577,0.74802,1.13247,5.50718e-05,5.50718e-05,5.50718e-05
164,1399.02,0.84017,0.48482,1.02851,0.81684,0.79585,0.87804,0.59518,1.16166,0.78902,1.1443,5.36957e-05,5.36957e-05,5.36957e-05
165,1407.72,0.84922,0.49807,1.03009,0.77023,0.82734,0.86838,0.6014,1.11674,0.79419,1.13075,5.23196e-05,5.23196e-05,5.23196e-05
166,1415.83,0.84655,0.48499,1.02484,0.79979,0.82262,0.87876,0.60551,1.12398,0.77311,1.13612,5.09435e-05,5.09435e-05,5.09435e-05
167,1424.48,0.84033,0.48378,1.02547,0.84148,0.81838,0.89872,0.61657,1.13984,0.71946,1.13971,4.95674e-05,4.95674e-05,4.95674e-05
168,1433.56,0.83585,0.48513,1.02975,0.82474,0.82131,0.88922,0.62312,1.09744,0.73877,1.13358,4.81913e-05,4.81913e-05,4.81913e-05
169,1441.66,0.82705,0.48103,1.02013,0.82153,0.82287,0.88861,0.61893,1.11101,0.73669,1.13716,4.68152e-05,4.68152e-05,4.68152e-05
170,1450.35,0.82825,0.47041,1.02066,0.82409,0.84085,0.90066,0.61303,1.16411,0.71786,1.15088,4.54391e-05,4.54391e-05,4.54391e-05
171,1459.21,0.84377,0.48292,1.02417,0.84552,0.84746,0.91496,0.62953,1.12249,0.68291,1.14045,4.4063e-05,4.4063e-05,4.4063e-05
172,1467.39,0.84047,0.49081,1.02435,0.84285,0.81938,0.90533,0.62197,1.13559,0.71272,1.13925,4.26869e-05,4.26869e-05,4.26869e-05
